_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry,LONGITUDE,LATITUDE
322,323,BLOOR ST W,None,SHAW ST,None,None,None,1929-12-09T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,322,14020124,13464817.0,,,,,322,1.0,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.42326800003929, 43.662508996936126]}",-79.42326800003929,43.662508996936126
323,324,BLOOR ST W,None,DOVERCOURT RD,None,None,None,1928-06-28T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,323,14018278,13465043.0,,,,,323,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.42943800496552, 43.66114999765918]}",-79.42943800496552,43.66114999765918
324,325,DUFFERIN ST,None,BLOOR ST W,None,None,None,1929-09-09T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,324,10865133,13465260.0,1.0,1.0,,,324,,,1.0,,,2021-03-23T04:00:00,2021-03-23T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.43536499449779, 43.659882998699196]}",-79.43536499449779,43.659882998699196
325,326,BLOOR ST W,None,LANSDOWNE AVE,None,None,None,1928-06-29T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,325,1144172,13465512.0,1.0,,,,325,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.44273400154185, 43.658338002912245]}",-79.44273400154185,43.658338002912245
326,327,DUNDAS ST W,None,BLOOR ST W,None,None,None,1928-03-07T05:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,326,9638443,13465876.0,1.0,1.0,,,326,,,1.0,2021-06-16T04:00:00,2021-06-16T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.45245299441933, 43.65632099830551]}",-79.45245299441933,43.65632099830551
327,328,BLOOR ST W,None,KEELE ST,PARKSIDE DR,None,None,1928-02-08T05:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,327,30071559,13466139.0,1.0,,,,327,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.4600479973423, 43.65470700095028]}",-79.4600479973423,43.65470700095028
328,329,BLOOR ST W,None,HIGH PARK AVE,COLBORNE LODGE DR,None,None,1941-07-14T04:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,328,10250061,13466332.0,1.0,,,,328,,,,2021-06-07T04:00:00,2021-06-07T04:00:00,2018-09-20T04:00:00,2018-09-20T04:00:00,North & South: Crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.4652970033174, 43.65353699949975]}",-79.4652970033174,43.65353699949975
329,330,BLOOR ST W,None,CLENDENAN AVE,None,None,None,1952-12-12T05:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,329,1145241,13466509.0,1.0,,,,329,,,,2021-11-12T05:00:00,2021-11-12T05:00:00,2021-11-12T05:00:00,2021-11-12T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.47003100569275, 43.652524002672585]}",-79.47003100569275,43.652524002672585
330,331,BLOOR ST W,None,RUNNYMEDE RD,None,None,None,1929-08-31T04:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Fixed Time,4,330,30093857,13466753.0,1.0,,,,330,,,,2021-06-07T04:00:00,2021-06-07T04:00:00,2018-07-10T04:00:00,2018-07-10T04:00:00,All Crosswalks,"{""type"": ""Point"", ""coordinates"": [-79.47630399533872, 43.65113499916614]}",-79.47630399533872,43.65113499916614
331,332,BLOOR ST W,None,WINDERMERE AVE,None,None,None,1952-09-14T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,331,10250277,13466917.0,1.0,,,,331,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.4804689946355, 43.650205000922405]}",-79.4804689946355,43.650205000922405
332,333,BLOOR ST W,None,JANE ST,None,None,None,1948-09-12T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,332,7950483,13467077.0,1.0,,,,332,,,,,,2017-10-19T04:00:00,2017-10-19T04:00:00,"North: Crosswalk, South: None","{""type"": ""Point"", ""coordinates"": [-79.4844830003943, 43.649329999733816]}",-79.4844830003943,43.649329999733816
333,334,BLOOR ST W,None,SOUTH KINGSWAY,None,None,None,1967-01-01T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,333,1146011,13467247.0,,,,,333,,,,2020-10-08T04:00:00,,2020-10-08T04:00:00,,LPI implemented on South Kingsway Phase 4. LPI checkbox doesn't get checked unless date entered in for north or south crosswalk.,"{""type"": ""Point"", ""coordinates"": [-79.48575200582097, 43.64831200268453]}",-79.48575200582097,43.64831200268453
334,335,BLOOR ST W,None,OLD MILL TRL,None,None,None,1958-01-31T05:00:00,TransSuite,None,SA2,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,334,911228,13467064.0,1.0,,,,334,,,,,,2020-12-03T05:00:00,2020-12-03T05:00:00,EBLA activated,"{""type"": ""Point"", ""coordinates"": [-79.49544300002779, 43.64960499951758]}",-79.49544300002779,43.64960499951758
335,336,BLOOR ST W,None,THE KINGSWAY,OLD MILL RD,PARKLAWN CEMETERY,None,1961-03-08T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,335,911198,13466999.0,1.0,,,,335,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.49921400085309, 43.65006500324303]}",-79.49921400085309,43.65006500324303
336,337,BLOOR ST W,None,PRINCE EDWARD DR N,PRINCE EDWARD DR S,None,None,1958-01-31T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,336,911284,13467231.0,,1.0,,,336,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.50545300277659, 43.64869099786852]}",-79.50545300277659,43.64869099786852
337,338,BLOOR ST W,None,ROYAL YORK RD,None,None,None,1958-12-12T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,337,8293064,13467463.0,1.0,,,,337,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.51136300134732, 43.64736199771167]}",-79.51136300134732,43.64736199771167
338,339,BLOOR ST W,None,ISLINGTON AVE,None,None,None,1958-01-01T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,338,911643,13467841.0,1.0,1.0,,,338,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.5234379984697, 43.64464800248367]}",-79.5234379984697,43.64464800248367
339,340,BLOOR ST W,47m EAST OF,JACKSON AVE,None,None,None,1958-01-31T05:00:00,TransSuite,None,PA - MPS,1.0 m/s (FDW based on full crossing @1.2m/s),None,2,339,8292238,,,,,,339,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.50835600235881, 43.64802799805505]}",-79.50835600235881,43.64802799805505
340,341,BLOOR ST W,None,OSSINGTON AVE,None,None,None,1928-06-15T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,340,1143576,13464908.0,1.0,,,,340,,,1.0,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.42565899772679, 43.66198399835327]}",-79.42565899772679,43.66198399835327
341,342,DANFORTH AVE,None,CHESTER AVE,None,None,None,1976-01-06T05:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,341,1140673,13462109.0,1.0,,,,341,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.35196499847086, 43.677555999312354]}",-79.35196499847086,43.677555999312354
342,343,DANFORTH AVE,None,LOGAN AVE,None,None,None,1928-07-14T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,342,11046558,13462012.0,,,,,342,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.3496230051069, 43.678012000521335]}",-79.3496230051069,43.678012000521335
343,344,DANFORTH AVE,None,CARLAW AVE,None,None,None,1952-02-01T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,343,7553396,13461936.0,1.0,,,,343,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.34734500497746, 43.678460001008716]}",-79.34734500497746,43.678460001008716
344,345,DANFORTH AVE,None,PAPE AVE,None,None,None,1928-07-13T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,344,14025107,13461839.0,1.0,,,,344,,,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.34484200427933, 43.67895100120976]}",-79.34484200427933,43.67895100120976
345,346,DANFORTH AVE,None,JONES AVE,None,None,None,1945-03-19T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,345,7569233,13461657.0,1.0,,,,345,,,,2020-10-08T04:00:00,,2020-10-08T04:00:00,2020-10-08T04:00:00,LPI implemented only for east & west crosswalks. LPI checkbox doesn't get checked unless date entered in for north or south crosswalk.,"{""type"": ""Point"", ""coordinates"": [-79.34017699777021, 43.679873995665204]}",-79.34017699777021,43.679873995665204
346,347,DANFORTH AVE,None,DONLANDS AVE,None,None,None,1953-08-19T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,346,10010625,13461561.0,1.0,,,,346,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.33731500466094, 43.68042100068259]}",-79.33731500466094,43.68042100068259
347,348,DANFORTH AVE,None,GREENWOOD AVE,None,None,None,1928-12-07T05:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Fixed Time,4,347,1140130,13461356.0,1.0,,,,347,,,,2020-12-14T05:00:00,2020-12-14T05:00:00,2020-12-14T05:00:00,2020-12-14T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.3323819969191, 43.68148400350337]}",-79.3323819969191,43.68148400350337
348,349,DANFORTH AVE,None,COXWELL AVE,None,None,None,1928-11-07T05:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,348,30104319,13460978.0,1.0,,,,348,,,,,,2020-12-14T05:00:00,2020-12-14T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.32363900564275, 43.68336500324966]}",-79.32363900564275,43.68336500324966
349,350,DANFORTH AVE,None,GLEBEMOUNT AVE,None,None,None,1957-05-16T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,349,14023363,13460749.0,,,,,349,,,,2021-11-12T05:00:00,2021-11-12T05:00:00,2021-11-12T05:00:00,2021-11-12T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.31766899532904, 43.684625999907276]}",-79.31766899532904,43.684625999907276
350,351,DANFORTH AVE,None,WOODBINE AVE,None,None,None,1928-10-07T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,350,1139497,13460523.0,1.0,,,,350,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.31277800560775, 43.68568400122813]}",-79.31277800560775,43.68568400122813
351,352,DANFORTH AVE,None,GLEDHILL AVE,PATRICIA DR,None,None,1953-01-27T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,351,9941968,13460329.0,,,,,351,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,2021-07-28T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.30856699901528, 43.68664300139114]}",-79.30856699901528,43.68664300139114
352,353,MAIN ST,None,DANFORTH AVE,None,None,None,1928-05-07T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,352,8211438,13460034.0,1.0,1.0,,,352,,,,2021-07-28T04:00:00,2021-07-28T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.3018310047411, 43.6881450007715]}",-79.3018310047411,43.6881450007715
353,354,DANFORTH AVE,None,DAWES RD,None,None,None,1948-09-12T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,353,14016041,13459820.0,1.0,,,,353,,,,,,2020-12-14T05:00:00,2020-12-14T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.29677099999324, 43.689304998142774]}",-79.29677099999324,43.689304998142774
354,355,DANFORTH AVE,None,VICTORIA PARK AVE,None,None,None,1958-01-31T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,354,10878223,13459445.0,1.0,,,,354,,,,,,2020-12-10T05:00:00,2020-12-10T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.2883580010287, 43.69123200356123]}",-79.2883580010287,43.69123200356123
355,356,DANFORTH AVE,None,PHARMACY AVE,None,None,None,1956-01-11T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,355,112989,13459232.0,1.0,,,,355,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.2833779990601, 43.69232999560851]}",-79.2833779990601,43.69232999560851
356,357,DANFORTH AVE,None,DANFORTH RD,None,None,None,1965-01-03T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,356,112936,13458963.0,,,,,356,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.27728999949301, 43.69364599563879]}",-79.27728999949301,43.69364599563879
357,358,DANFORTH AVE,None,WARDEN AVE,None,None,None,1957-01-01T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,357,112927,13458805.0,,,,,357,,,,,,2022-05-13T04:00:00,2022-05-13T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.27365000361921, 43.69436499771531]}",-79.27365000361921,43.69436499771531
358,359,DANFORTH AVE,None,BIRCHMOUNT RD,None,None,None,1958-01-31T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,358,112816,13458312.0,1.0,,,,358,,,,2022-12-29T05:00:00,2022-12-29T05:00:00,2021-10-28T04:00:00,2021-10-28T04:00:00,East/West Dynamic LPI,"{""type"": ""Point"", ""coordinates"": [-79.26399900616784, 43.696993000782115]}",-79.26399900616784,43.696993000782115
359,360,CLONMORE DR,None,HOLLIS AVE,WARDEN AVE,None,None,1958-01-31T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,359,112964,13459088.0,,,,,359,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.27303800031335, 43.692871001325074]}",-79.27303800031335,43.692871001325074
360,361,GERRARD ST E,None,VICTORIA PARK AVE,None,None,None,1953-01-04T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,360,1139356,13460223.0,,,,,360,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.28657600600557, 43.68690399905947]}",-79.28657600600557,43.68690399905947
361,362,GERRARD ST E,None,MALVERN AVE,None,None,None,1960-04-20T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,361,7640461,13460568.0,,,,,361,,,,2021-02-05T05:00:00,2021-02-05T05:00:00,2021-02-05T05:00:00,2021-02-05T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.29466999918819, 43.68513500060695]}",-79.29466999918819,43.68513500060695
362,363,GERRARD ST E,None,MAIN ST,None,None,None,1948-12-20T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,362,7640834,13460822.0,,1.0,,,362,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.30015500448026, 43.68394999639982]}",-79.30015500448026,43.68394999639982
363,364,GERRARD ST E,None,GLENMOUNT PARK RD,None,None,None,1988-07-07T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,363,2903274,13461057.0,1.0,1.0,,,363,,,,2021-02-05T05:00:00,2021-02-05T05:00:00,2021-02-05T05:00:00,2021-02-05T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.30598999978054, 43.68265299594591]}",-79.30598999978054,43.68265299594591
364,365,GERRARD ST E,None,WOODBINE AVE,None,None,None,1948-03-01T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,364,10560685,13461421.0,,1.0,,,364,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.31075399533863, 43.68079300355788]}",-79.31075399533863,43.68079300355788
365,366,GERRARD ST E,None,BOWMORE RD,None,None,None,1958-04-08T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,365,10558631,13461912.0,,1.0,,,365,,,,2021-02-05T05:00:00,2021-02-05T05:00:00,2021-02-05T05:00:00,2021-02-05T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.31498600271807, 43.67808999620527]}",-79.31498600271807,43.67808999620527
366,367,COXWELL AVE,None,FAIRFORD AVE,GERRARD ST E,None,None,1959-06-22T04:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,366,10538765,13462427.0,1.0,1.0,,,366,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.320300000353, 43.67533700431672]}",-79.320300000353,43.67533700431672
367,368,COXWELL AVE,None,GERRARD ST E,EASTWOOD RD,None,SOUTH INTERSECTION,1942-02-23T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,367,10538143,13462844.0,,1.0,,,367,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.31930900258024, 43.67290800173132]}",-79.31930900258024,43.67290800173132
368,369,GERRARD ST E,None,GREENWOOD AVE,None,None,None,1948-10-15T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,368,10575733,13463183.0,1.0,1.0,,,368,,,,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.32802200050477, 43.670923004011506]}",-79.32802200050477,43.670923004011506
369,370,GERRARD ST E,None,JONES AVE,None,None,None,1952-01-30T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,369,1142135,13463478.0,1.0,1.0,,,369,,,,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.33560800374983, 43.66924999864902]}",-79.33560800374983,43.66924999864902
370,371,GERRARD ST E,None,PAPE AVE,None,None,None,1929-07-09T04:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,370,11047919,13463705.0,,1.0,,,370,,,,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.34040000297655, 43.66817300237045]}",-79.34040000297655,43.66817300237045
371,372,GERRARD ST E,None,CARLAW AVE,None,None,None,1948-06-10T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,371,14024937,13463796.0,1.0,1.0,1.0,,371,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.34277800387753, 43.6676360017974]}",-79.34277800387753,43.6676360017974
372,373,GERRARD ST E,None,LOGAN AVE,None,None,None,1952-05-05T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,372,1142576,13463892.0,,1.0,,,372,,,,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,2022-02-28T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.34519499799397, 43.66709399976981]}",-79.34519499799397,43.66709399976981
373,374,BROADVIEW AVE,None,GERRARD ST E,None,None,None,1928-08-15T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,373,30104218,13464177.0,1.0,1.0,,,373,,,,2021-11-05T04:00:00,2021-11-05T04:00:00,2018-10-16T04:00:00,2018-10-16T04:00:00,North & South: Crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.35262399472575, 43.66548600003973]}",-79.35262399472575,43.66548600003973
374,375,DANFORTH RD,None,KENNEDY RD,None,None,None,1964-11-02T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,374,112092,13455448.0,1.0,,,,374,,,,,,2021-08-18T04:00:00,2021-08-18T04:00:00,LPI implemented on north/south phase.,"{""type"": ""Point"", ""coordinates"": [-79.26087099969013, 43.71484600030073]}",-79.26087099969013,43.71484600030073
375,376,DANFORTH RD,None,MACK AVE,None,None,None,1965-03-02T05:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,375,112761,13457874.0,1.0,,,,375,,,,2019-12-04T05:00:00,2019-12-04T05:00:00,2022-02-02T05:00:00,2022-02-02T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.27272600529301, 43.70018000093334]}",-79.27272600529301,43.70018000093334
376,377,DANFORTH RD,None,MIDLAND AVE,None,None,None,1962-03-19T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,376,111648,13454001.0,-1.0,,,1.0,376,,1.0,1.0,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.25396099868327, 43.724826995882324]}",-79.25396099868327,43.724826995882324
377,378,DANFORTH RD,None,BRIMLEY RD,None,None,None,1960-09-20T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,377,111123,13452352.0,-1.0,,,,377,,,,2020-05-29T04:00:00,2020-05-29T04:00:00,2020-05-29T04:00:00,2020-05-29T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.24738400100458, 43.73517300381058]}",-79.24738400100458,43.73517300381058
378,379,EGLINTON AVE E,None,DANFORTH RD,None,None,None,1960-01-01T05:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,378,110957,13452053.0,,,,,378,,,,,,2020-05-27T04:00:00,2020-05-27T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.24616400453058, 43.7370970034789]}",-79.24616400453058,43.7370970034789
379,380,LAWRENCE AVE E,None,MCCOWAN RD,None,None,None,1960-02-11T05:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,379,9011650,13449204.0,1.0,,,,379,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.2454219966729, 43.755547995699345]}",-79.2454219966729,43.755547995699345
380,381,DAVENPORT RD,None,BEDFORD RD,None,None,None,1960-10-25T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,380,14046940,13462785.0,,,,,380,,,,2022-09-15T04:00:00,2022-09-15T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.39984300544339, 43.674373999543974]}",-79.39984300544339,43.674373999543974
381,382,DAVENPORT RD,None,DUPONT ST,None,None,None,1929-08-19T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,381,11034642,13462552.0,,,,,381,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.40259399892308, 43.67580999929382]}",-79.40259399892308,43.67580999929382
382,383,DAVENPORT RD,None,KENDAL AVE,WALMER RD,None,None,1948-11-19T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,382,1140907,13462390.0,-1.0,,,,382,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.41036600406171, 43.67683899765817]}",-79.41036600406171,43.67683899765817
383,384,BATHURST ST,None,DAVENPORT RD,None,None,None,1929-08-28T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,383,1140943,13462422.0,1.0,,,,383,,,,2020-12-10T05:00:00,2020-12-10T05:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.41578600194663, 43.676729999544555]}",-79.41578600194663,43.676729999544555
384,385,DAVENPORT RD,None,CHRISTIE ST,None,None,None,1929-10-16T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,384,10872624,13462648.0,1.0,,,,384,,,,,,2019-10-24T04:00:00,2019-10-24T04:00:00,North & South: Crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.42309300095566, 43.67556099893931]}",-79.42309300095566,43.67556099893931
385,386,DAVENPORT RD,None,OSSINGTON AVE,None,None,None,1948-11-19T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,385,1141378,13462801.0,1.0,,,,385,,,,,,2017-03-01T05:00:00,2017-03-01T05:00:00,"North: None, South: Crosswalk","{""type"": ""Point"", ""coordinates"": [-79.43098300189573, 43.674721998989426]}",-79.43098300189573,43.674721998989426
386,387,DAVENPORT RD,None,OAKWOOD AVE,None,None,None,1960-06-06T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,386,8023039,13462867.0,,,,,386,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.43378199575038, 43.67440699711895]}",-79.43378199575038,43.67440699711895
387,388,DUFFERIN ST,None,DAVENPORT RD,None,None,None,1943-09-23T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,387,5868170,13463123.0,,1.0,,,387,,,,2021-03-23T04:00:00,2021-03-23T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.44099599405891, 43.67298999935626]}",-79.44099599405891,43.67298999935626
